time,strategy,direction,duration_min,lot_size,open_price,close_price,actual_pl,actual_pl_norm,mfe_points,mae_points,mfe_norm,mae_norm,mfe_capture_pct
2026-03-11 02:07:00+00:00,MH,SELL,0.7833333333333333,0.05,5194.74,5194.32,1.8000000000000003,0.36000000000000004,2.2249999999994543,1.9099999999998545,0.022249999999994545,0.019099999999998545,1617.9775280902845
2026-03-11 02:17:00+00:00,MH,BUY,1.5,0.05,5189.78,5190.52,3.4000000000000004,0.68,0.8900000000003274,0.7200000000002547,0.008900000000003275,0.007200000000002546,7640.449438199437
2026-03-11 02:21:30+00:00,MH,SELL,0.8,0.05,5195.52,5195.08,1.9000000000000004,0.38000000000000006,0.7300000000004729,1.2049999999999272,0.00730000000000473,0.012049999999999273,5205.479452051422
2026-03-11 02:44:00+00:00,MH,BUY,0.2833333333333333,0.05,5192.12,5192.37,0.9500000000000001,0.19,0.3149999999995998,0.13000000000010914,0.0031499999999959984,0.0013000000000010915,6031.746031753694
2026-03-11 02:57:00+00:00,MH,SELL,0.2,0.05,5194.68,5194.3,1.6,0.32,0.48000000000047294,0.06500000000050932,0.004800000000004729,0.0006500000000050932,6666.666666660099
2026-03-11 03:06:00+00:00,MH,BUY,0.2,0.05,5189.41,5189.93,2.3000000000000003,0.4600000000000001,0.6550000000006548,0.6100000000005821,0.006550000000006549,0.006100000000005821,7022.9007633517585
2026-03-11 03:17:00+00:00,MH,SELL,0.08333333333333333,0.05,5195.67,5195.08,2.6500000000000004,0.53,1.0950000000002547,0.0500000000001819,0.010950000000002546,0.000500000000001819,4840.182648400701
2026-03-11 04:44:00+00:00,MH,BUY,0.9,0.05,5214.2,5215.0,3.7,0.74,0.9749999999994543,1.319999999999709,0.009749999999994543,0.013199999999997089,7589.743589747837
2026-03-11 04:48:00+00:00,MH,SELL,0.7333333333333333,0.05,5216.71,5215.98,3.35,0.67,0.8599999999996726,1.2250000000003638,0.008599999999996727,0.012250000000003638,7790.697674421571
2026-03-11 05:39:00+00:00,MH,SELL,1.0666666666666667,0.05,5205.72,5205.17,2.45,0.49000000000000005,0.7899999999999636,0.41999999999916326,0.007899999999999636,0.004199999999991633,6202.531645569907
2026-03-12 02:28:00+00:00,MH,SELL,0.016666666666666666,0.05,5156.1,5155.56,2.4000000000000004,0.4800000000000001,0.7600000000002183,0.09000000000014552,0.007600000000002183,0.0009000000000014552,6315.789473682397
2026-03-12 02:35:00+00:00,MH,BUY,2.3333333333333335,0.05,5150.55,5151.46,4.249999999999999,0.8499999999999999,1.230000000000473,4.454999999999927,0.012300000000004729,0.04454999999999927,6910.569105688399
2026-03-12 03:21:00+00:00,MH,SELL,0.18333333333333332,0.05,5143.66,5143.09,2.5500000000000003,0.51,0.7550000000001091,0.11000000000058208,0.007550000000001091,0.0011000000000058207,6754.966887416242
2026-03-12 05:35:00+00:00,MH,BUY,2.5833333333333335,0.1,5165.53,5164.34,-12.500000000000002,-1.2500000000000002,0.1500000000005457,3.4399999999996,0.001500000000005457,0.034399999999995996,-83333.33333303018
2026-03-12 05:36:54+00:00,MH,BUY,0.6833333333333333,0.1,5162.85,5164.34,14.299999999999999,1.43,1.6749999999992724,0.7600000000002183,0.016749999999992726,0.007600000000002183,8537.313432839528
2026-03-12 05:43:00+00:00,MH,BUY,0.2,0.01,5156.21,5156.79,0.5199999999999999,0.5199999999999999,0.7399999999997817,0.09500000000025466,0.007399999999997817,0.0009500000000025466,7027.027027029098
2026-03-12 08:41:00+00:00,MH,SELL,36.2,0.01,5152.55,5151.8,0.69,0.69,1.0600000000004002,5.239999999999782,0.010600000000004002,0.052399999999997816,6509.433962261693
2026-03-11 02:04:00+00:00,HR05,SELL,0.7333333333333333,0.05,5192.19,5191.75,1.9000000000000004,0.38000000000000006,0.5549999999993815,0.8200000000006185,0.005549999999993816,0.008200000000006185,6846.846846854477
2026-03-11 02:16:00+00:00,HR05,BUY,0.65,0.05,5188.96,5189.54,2.6,0.52,0.9499999999998181,1.125,0.009499999999998182,0.01125,5473.684210527364
2026-03-11 02:21:00+00:00,HR05,SELL,1.3,0.05,5195.53,5195.08,1.9500000000000002,0.39,0.7399999999997817,1.1950000000006185,0.007399999999997817,0.011950000000006185,5270.270270271825
2026-03-11 02:41:00+00:00,HR05,BUY,0.4,0.05,5193.02,5193.37,1.4500000000000002,0.29000000000000004,0.4599999999991269,0.25500000000101863,0.004599999999991269,0.0025500000000101865,6304.347826098923
2026-03-11 02:55:00+00:00,HR05,SELL,1.05,0.05,5193.7,5193.17,2.35,0.47000000000000003,0.5950000000002547,0.9250000000001819,0.005950000000002547,0.00925000000000182,7899.159663862166
2026-03-11 03:05:00+00:00,HR05,BUY,0.43333333333333335,0.05,5190.47,5190.84,1.5500000000000003,0.31000000000000005,0.6300000000001091,0.3100000000004002,0.006300000000001091,0.003100000000004002,4920.634920634069
2026-03-11 03:16:00+00:00,HR05,SELL,0.21666666666666667,0.05,5195.6,5195.03,2.5500000000000003,0.51,0.6700000000000728,0.15499999999883585,0.006700000000000728,0.0015499999999883584,7611.940298506635
2026-03-11 04:10:00+00:00,HR05,BUY,0.65,0.05,5213.66,5214.34,3.1,0.62,0.8150000000005093,1.375,0.008150000000005094,0.01375,7607.361963185429
2026-03-11 04:13:39+00:00,HR05,SELL,1.6,0.05,5215.59,5214.74,3.9499999999999997,0.7899999999999999,0.9350000000004002,2.2600000000002183,0.009350000000004003,0.022600000000002184,8449.19786095895
2026-03-11 04:25:00+00:00,HR05,BUY,1.1833333333333333,0.05,5215.07,5213.56,-7.8500000000000005,-1.57,0.4349999999994907,4.279999999999745,0.0043499999999949066,0.04279999999999745,-36091.95402303077
2026-03-11 04:34:00+00:00,HR05,SELL,3.0166666666666666,0.05,5217.5,5216.62,4.1,0.82,1.3649999999997817,2.4700000000002547,0.013649999999997817,0.024700000000002546,6007.326007326968
2026-03-11 04:41:00+00:00,HR05,BUY,4.033333333333333,0.05,5215.0,5215.52,2.3000000000000003,0.4600000000000001,0.625,2.119999999999891,0.00625,0.02119999999999891,7360.000000000001
2026-03-11 05:20:00+00:00,HR05,SELL,0.9166666666666666,0.05,5204.67,5204.08,2.6500000000000004,0.53,0.6750000000001819,0.5750000000007276,0.006750000000001819,0.005750000000007276,7851.851851849736
2026-03-12 02:14:00+00:00,HR05,SELL,0.11666666666666667,0.05,5153.53,5152.23,6.199999999999999,1.2399999999999998,1.5799999999990177,0.215000000001055,0.015799999999990176,0.00215000000001055,7848.101265827662
2026-03-12 02:35:00+00:00,HR05,BUY,2.3333333333333335,0.05,5150.55,5151.46,4.249999999999999,0.8499999999999999,1.230000000000473,4.454999999999927,0.012300000000004729,0.04454999999999927,6910.569105688399
2026-03-12 03:13:00+00:00,HR05,SELL,0.16666666666666666,0.05,5140.44,5140.0,1.9000000000000004,0.38000000000000006,0.8249999999998181,0.4250000000001819,0.00824999999999818,0.004250000000001819,4606.060606061622
2026-03-12 03:49:00+00:00,HR05,BUY,0.4666666666666667,0.05,5151.25,5152.76,7.249999999999999,1.4499999999999997,1.7049999999999272,1.0200000000004366,0.017049999999999274,0.010200000000004365,8504.398826979834
2026-03-12 04:00:00+00:00,HR05,BUY,0.06666666666666667,0.05,5153.13,5154.51,6.6,1.3199999999999998,1.5799999999999272,1.25,0.015799999999999273,0.0125,8354.430379747218
2026-03-12 04:09:00+00:00,HR05,BUY,0.03333333333333333,0.05,5154.86,5155.9,4.8999999999999995,0.9799999999999999,1.2650000000003274,0.13000000000010914,0.012650000000003275,0.0013000000000010915,7747.035573120523
2026-03-12 04:15:00+00:00,HR05,SELL,0.2,0.05,5157.22,5156.09,5.35,1.0699999999999998,1.2950000000009823,1.3599999999996726,0.012950000000009823,0.013599999999996726,8262.548262541994
2026-03-12 04:19:00+00:00,HR05,SELL,2.0166666666666666,0.05,5158.33,5157.67,3.0,0.6,0.8450000000002547,1.5200000000004366,0.008450000000002547,0.015200000000004366,7100.591715974189
2026-03-12 04:31:00+00:00,HR05,BUY,0.2,0.05,5157.01,5158.25,5.8999999999999995,1.18,1.5900000000001455,0.2600000000002183,0.015900000000001455,0.002600000000002183,7421.383647798062
2026-03-12 04:35:00+00:00,HR05,SELL,0.03333333333333333,0.05,5158.26,5157.74,2.3000000000000003,0.4600000000000001,0.7849999999998545,0.09000000000014552,0.007849999999998546,0.0009000000000014552,5859.872611466055
2026-03-12 05:24:00+00:00,HR05,BUY,0.21666666666666667,0.1,5169.32,5170.26,8.799999999999999,0.8799999999999999,1.1350000000002183,0.21999999999934516,0.011350000000002183,0.0021999999999934516,7753.303964756217
2026-03-11 02:06:00+00:00,HR10,SELL,1.7833333333333334,0.05,5193.31,5193.95,-3.5,-0.7,0.7950000000000728,3.339999999999236,0.007950000000000727,0.03339999999999236,-8805.031446540075
2026-03-11 02:07:15+00:00,HR10,SELL,0.5333333333333333,0.05,5195.67,5193.95,8.299999999999999,1.6599999999999997,3.1549999999997453,0.9799999999995634,0.031549999999997455,0.009799999999995635,5261.489698891073
2026-03-11 02:17:00+00:00,HR10,BUY,1.5,0.05,5189.78,5190.52,3.4000000000000004,0.68,0.8900000000003274,0.7200000000002547,0.008900000000003275,0.007200000000002546,7640.449438199437
2026-03-11 02:21:30+00:00,HR10,SELL,0.8,0.05,5195.52,5195.08,1.9000000000000004,0.38000000000000006,0.7300000000004729,1.2049999999999272,0.00730000000000473,0.012049999999999273,5205.479452051422
2026-03-11 02:42:00+00:00,HR10,BUY,2.283333333333333,0.05,5191.95,5192.23,1.1,0.22000000000000003,0.4849999999996726,0.3900000000003274,0.004849999999996726,0.003900000000003274,4536.082474229866
2026-03-11 02:56:00+00:00,HR10,SELL,0.05,0.05,5193.7,5193.17,2.35,0.47000000000000003,0.5950000000002547,0.08500000000003638,0.005950000000002547,0.0008500000000003638,7899.159663862166
2026-03-11 03:06:00+00:00,HR10,BUY,0.2,0.05,5189.41,5189.93,2.3000000000000003,0.4600000000000001,0.6550000000006548,0.6100000000005821,0.006550000000006549,0.006100000000005821,7022.9007633517585
2026-03-11 03:17:00+00:00,HR10,SELL,0.08333333333333333,0.05,5195.67,5195.08,2.6500000000000004,0.53,1.0950000000002547,0.0500000000001819,0.010950000000002546,0.000500000000001819,4840.182648400701
2026-03-11 04:26:00+00:00,HR10,BUY,0.13333333333333333,0.05,5212.19,5212.9,3.25,0.65,0.8599999999996726,0.13000000000010914,0.008599999999996727,0.0013000000000010915,7558.139534886598
2026-03-11 04:35:00+00:00,HR10,SELL,0.0,0.05,5219.89,5218.96,4.35,0.8699999999999999,1.2250000000003638,0.07999999999992724,0.012250000000003638,0.0007999999999992724,7102.04081632442
2026-03-11 04:41:00+00:00,HR10,BUY,4.033333333333333,0.05,5215.0,5215.52,2.3000000000000003,0.4600000000000001,0.625,2.119999999999891,0.00625,0.02119999999999891,7360.000000000001
2026-03-11 05:26:00+00:00,HR10,SELL,0.3,0.05,5205.62,5204.79,3.85,0.77,0.9949999999998909,0.15499999999974534,0.00994999999999891,0.0015499999999974534,7738.693467337533
2026-03-12 02:17:00+00:00,HR10,SELL,3.25,0.05,5153.85,5153.56,1.1500000000000001,0.23000000000000004,0.8100000000004002,1.6000000000003638,0.008100000000004002,0.01600000000000364,2839.506172838104
2026-03-12 02:36:00+00:00,HR10,BUY,0.6,0.05,5149.72,5150.03,1.2500000000000002,0.25000000000000006,0.9549999999990177,1.5700000000006185,0.009549999999990177,0.015700000000006185,2617.801047123112
2026-03-12 03:15:00+00:00,HR10,SELL,13.05,0.05,5138.86,5156.59,-88.95000000000002,-17.790000000000003,-0.09000000000014552,17.664999999999964,-0.0009000000000014552,0.17664999999999964,0.0
2026-03-12 04:16:00+00:00,HR10,BUY,0.25,0.05,5154.57,5154.68,0.25,0.05,0.6850000000004002,0.8449999999993452,0.006850000000004002,0.008449999999993452,729.9270072988437
2026-03-12 04:19:15+00:00,HR10,SELL,0.16666666666666666,0.05,5159.11,5158.72,1.6500000000000001,0.33,0.7399999999997817,0.07000000000061846,0.007399999999997817,0.0007000000000061846,4459.459459460775
2026-03-12 04:32:00+00:00,HR10,BUY,0.06666666666666667,0.05,5155.19,5156.12,4.35,0.8699999999999999,1.1000000000003638,0.1999999999998181,0.011000000000003639,0.001999999999998181,7909.0909090882915
2026-03-12 04:35:04+00:00,HR10,SELL,0.21666666666666667,0.05,5158.0,5157.49,2.25,0.45,0.7049999999999272,0.9899999999997817,0.007049999999999272,0.009899999999997817,6382.9787234049145
2026-03-12 05:27:00+00:00,HR10,BUY,3.75,0.1,5171.01,5170.32,-7.5,-0.75,-0.025000000000545697,3.675000000000182,-0.00025000000000545696,0.03675000000000182,0.0
2026-03-12 05:28:58+00:00,HR10,BUY,1.7833333333333334,0.1,5168.47,5170.32,17.9,1.7899999999999998,1.9149999999999636,1.1350000000002183,0.019149999999999636,0.011350000000002183,9347.258485639864
