tp,cutoff,tp_hits,losses,total,win_rate,sim_pnl,vs_actual
30,5,61,1,62,98.38709677419355,18.25200000000002,3.3920000000000243
30,10,61,1,62,98.38709677419355,18.15360000000002,3.2936000000000227
30,15,61,1,62,98.38709677419355,18.17030000000002,3.310300000000023
30,20,61,1,62,98.38709677419355,18.14790000000002,3.2879000000000254
30,30,61,1,62,98.38709677419355,18.146800000000017,3.286800000000021
40,5,59,3,62,95.16129032258065,23.49109999999998,8.631099999999986
40,10,59,3,62,95.16129032258065,23.31319999999998,8.453199999999985
40,15,60,2,62,96.7741935483871,23.729399999999977,8.869399999999981
40,20,60,2,62,96.7741935483871,23.722699999999985,8.86269999999999
40,30,60,2,62,96.7741935483871,23.719499999999982,8.859499999999986
50,5,58,4,62,93.54838709677419,28.875799999999998,14.015800000000002
50,10,59,3,62,95.16129032258065,29.213199999999997,14.353200000000001
50,15,60,2,62,96.7741935483871,29.729399999999995,14.869399999999999
50,20,60,2,62,96.7741935483871,29.722700000000003,14.862700000000007
50,30,60,2,62,96.7741935483871,29.7195,14.859500000000004
60,5,55,7,62,88.70967741935483,32.80600000000001,17.946000000000016
60,10,56,5,62,91.93548387096774,33.22770000000003,18.36770000000003
60,15,59,3,62,95.16129032258065,34.979500000000044,20.11950000000005
60,20,59,3,62,95.16129032258065,34.92790000000004,20.06790000000004
60,30,59,3,62,95.16129032258065,34.939000000000036,20.07900000000004
70,5,55,7,62,88.70967741935483,38.30599999999999,23.445999999999994
70,10,56,5,62,91.93548387096774,38.82770000000001,23.96770000000001
70,15,59,3,62,95.16129032258065,40.87950000000002,26.019500000000026
70,20,59,3,62,95.16129032258065,40.827900000000014,25.967900000000018
70,30,59,3,62,95.16129032258065,40.83900000000001,25.979000000000017
80,5,55,7,62,88.70967741935483,43.80599999999996,28.945999999999966
80,10,56,5,62,91.93548387096774,44.42769999999997,29.567699999999977
80,15,59,3,62,95.16129032258065,46.77949999999997,31.919499999999974
80,20,59,3,62,95.16129032258065,46.72789999999996,31.867899999999967
80,30,59,3,62,95.16129032258065,46.73899999999996,31.878999999999966
90,5,54,8,62,87.09677419354838,48.40399999999994,33.54399999999994
90,10,56,5,62,91.93548387096774,50.02769999999995,35.167699999999954
90,15,58,4,62,93.54838709677419,51.73499999999996,36.87499999999996
90,20,58,4,62,93.54838709677419,51.68489999999995,36.82489999999996
90,30,58,4,62,93.54838709677419,51.732299999999945,36.87229999999995
100,5,51,11,62,82.25806451612904,50.73279999999998,35.872799999999984
100,10,55,6,62,90.32258064516128,54.554100000000005,39.694100000000006
100,15,57,5,62,91.93548387096774,56.39350000000001,41.53350000000002
100,20,57,5,62,91.93548387096774,56.3686,41.5086
100,30,57,5,62,91.93548387096774,56.4551,41.5951
110,5,49,13,62,79.03225806451613,53.43920000000003,38.57920000000003
110,10,53,8,62,87.09677419354838,57.45810000000005,42.59810000000006
110,15,55,7,62,88.70967741935483,59.64410000000005,44.78410000000005
110,20,55,7,62,88.70967741935483,59.572600000000044,44.71260000000005
110,30,55,7,62,88.70967741935483,59.547700000000056,44.68770000000006
120,5,49,13,62,79.03225806451613,58.339200000000034,43.479200000000034
120,10,53,8,62,87.09677419354838,62.75810000000006,47.89810000000007
120,15,55,7,62,88.70967741935483,65.14410000000005,50.28410000000005
120,20,55,7,62,88.70967741935483,65.07260000000005,50.21260000000005
120,30,55,7,62,88.70967741935483,65.04770000000006,50.18770000000006
130,5,48,14,62,77.41935483870968,61.82299999999993,46.96299999999994
130,10,52,9,62,85.48387096774194,66.58469999999994,51.72469999999994
130,15,54,8,62,87.09677419354838,69.20109999999994,54.34109999999994
130,20,54,8,62,87.09677419354838,69.11489999999993,54.254899999999935
130,30,54,8,62,87.09677419354838,69.06159999999996,54.20159999999996
140,5,47,14,62,77.41935483870968,65.23679999999995,50.376799999999946
140,10,52,9,62,85.48387096774194,71.78469999999999,56.92469999999999
140,15,54,8,62,87.09677419354838,74.6011,59.7411
140,20,54,8,62,87.09677419354838,74.5149,59.6549
140,30,54,8,62,87.09677419354838,74.4616,59.601600000000005
150,5,47,14,62,77.41935483870968,69.93679999999999,55.07679999999999
150,10,52,9,62,85.48387096774194,76.98470000000002,62.12470000000002
150,15,54,8,62,87.09677419354838,80.0011,65.1411
150,20,54,8,62,87.09677419354838,79.91489999999999,65.05489999999999
150,30,54,8,62,87.09677419354838,79.86160000000001,65.00160000000001
160,5,45,16,62,74.19354838709677,71.37490000000001,56.51490000000001
160,10,49,10,62,83.87096774193549,77.40369999999999,62.54369999999999
160,15,53,8,62,87.09677419354838,83.81679999999996,68.95679999999996
160,20,54,8,62,87.09677419354838,85.31489999999997,70.45489999999997
160,30,54,8,62,87.09677419354838,85.26159999999997,70.40159999999997
170,5,41,18,62,70.96774193548387,69.04570000000004,54.18570000000004
170,10,48,11,62,82.25806451612904,80.47340000000007,65.61340000000007
170,15,52,9,62,85.48387096774194,87.28990000000009,72.42990000000009
170,20,53,9,62,85.48387096774194,88.92380000000009,74.06380000000009
170,30,53,9,62,85.48387096774194,88.8197000000001,73.9597000000001
180,5,41,18,62,70.96774193548387,73.14569999999993,58.285699999999935
180,10,48,11,62,82.25806451612904,85.27339999999994,70.41339999999994
180,15,52,9,62,85.48387096774194,92.48989999999992,77.62989999999992
180,20,53,9,62,85.48387096774194,94.22379999999991,79.36379999999991
180,30,53,9,62,85.48387096774194,94.11969999999992,79.25969999999992
190,5,40,19,62,69.35483870967742,75.3256,60.465599999999995
190,10,47,12,62,80.64516129032258,88.12740000000004,73.26740000000004
190,15,51,10,62,83.87096774193549,95.62810000000006,80.76810000000006
190,20,52,10,62,83.87096774193549,97.50560000000006,82.64560000000006
190,30,52,10,62,83.87096774193549,97.37520000000008,82.51520000000008
200,5,39,20,62,67.74193548387096,77.28399999999999,62.42399999999999
200,10,46,13,62,79.03225806451613,90.69969999999999,75.8397
200,15,50,11,62,82.25806451612904,98.60380000000002,83.74380000000002
200,20,51,11,62,82.25806451612904,100.6171,85.7571
200,30,51,11,62,82.25806451612904,100.43590000000002,85.57590000000002
210,5,39,20,62,67.74193548387096,81.18399999999997,66.32399999999997
210,10,46,13,62,79.03225806451613,95.29969999999994,80.43969999999995
210,15,50,11,62,82.25806451612904,103.60379999999994,88.74379999999994
210,20,51,11,62,82.25806451612904,105.7170999999999,90.8570999999999
210,30,51,11,62,82.25806451612904,105.53589999999993,90.67589999999993
220,5,38,21,62,66.12903225806451,82.77260000000005,67.91260000000005
220,10,45,14,62,77.41935483870968,97.59150000000008,82.73150000000008
220,15,49,12,62,80.64516129032258,106.2767000000001,91.4167000000001
220,20,50,12,62,80.64516129032258,108.49670000000009,93.63670000000009
220,30,50,12,62,80.64516129032258,108.31510000000011,93.45510000000012
230,5,37,21,62,66.12903225806451,84.28519999999995,69.42519999999995
230,10,45,14,62,77.41935483870968,102.09149999999993,87.23149999999993
230,15,49,12,62,80.64516129032258,111.17669999999993,96.31669999999993
230,20,50,12,62,80.64516129032258,113.4966999999999,98.6366999999999
230,30,50,12,62,80.64516129032258,113.31509999999993,98.45509999999993
240,5,34,21,62,66.12903225806451,80.79890000000002,65.93890000000002
240,10,45,14,62,77.41935483870968,106.5915000000001,91.7315000000001
240,15,49,12,62,80.64516129032258,116.0767000000001,101.2167000000001
240,20,50,12,62,80.64516129032258,118.49670000000009,103.63670000000009
240,30,50,12,62,80.64516129032258,118.31510000000011,103.45510000000012
250,5,33,21,62,66.12903225806451,81.70599999999999,66.84599999999999
250,10,43,16,62,74.19354838709677,105.93090000000002,91.07090000000002
250,15,47,14,62,77.41935483870968,115.8079,100.9479
250,20,48,14,62,77.41935483870968,118.36309999999999,103.50309999999999
250,30,48,14,62,77.41935483870968,117.94970000000002,103.08970000000002
260,5,32,22,62,64.51612903225806,82.39639999999999,67.53639999999999
260,10,42,17,62,72.58064516129032,107.62909999999994,92.76909999999994
260,15,47,14,62,77.41935483870968,120.5078999999999,105.64789999999991
260,20,48,14,62,77.41935483870968,123.16309999999989,108.30309999999989
260,30,48,14,62,77.41935483870968,122.7496999999999,107.8896999999999
270,5,31,23,62,62.903225806451616,82.87500000000004,68.01500000000004
270,10,41,18,62,70.96774193548387,109.07480000000008,94.21480000000008
270,15,45,16,62,74.19354838709677,119.75380000000008,104.89380000000008
270,20,46,16,62,74.19354838709677,122.51880000000007,107.65880000000007
270,30,46,16,62,74.19354838709677,122.0068000000001,107.1468000000001
280,5,29,25,62,59.67741935483871,80.36199999999995,65.50199999999995
280,10,40,19,62,69.35483870967742,110.35179999999995,95.49179999999996
280,15,44,16,62,74.19354838709677,121.45699999999992,106.59699999999992
280,20,46,16,62,74.19354838709677,127.1187999999999,112.2587999999999
280,30,46,16,62,74.19354838709677,126.60679999999992,111.74679999999992
290,5,28,26,62,58.06451612903226,80.35150000000002,65.49150000000002
290,10,37,22,62,64.51612903225806,105.53230000000008,90.67230000000008
290,15,41,19,62,69.35483870967742,116.9980000000001,102.1380000000001
290,20,43,19,62,69.35483870967742,122.76260000000008,107.90260000000008
290,30,43,19,62,69.35483870967742,121.9191000000001,107.0591000000001
300,5,27,26,62,58.06451612903226,80.1649,65.3049
300,10,37,22,62,64.51612903225806,109.23230000000002,94.37230000000002
300,15,41,19,62,69.35483870967742,121.09800000000001,106.23800000000001
300,20,43,19,62,69.35483870967742,127.06259999999997,112.20259999999998
300,30,43,19,62,69.35483870967742,126.21910000000001,111.35910000000001
