tp,time_limit,trades,tp_hits,win_rate,total_pnl,avg_pnl
0.2,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.2,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.2,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.2,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.2,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.2,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.2,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.2,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.2,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.2,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.2,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.2,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.2,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.2,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.2,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.2,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.2,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.2,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.2,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.2,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.2,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.2,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.2,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.2,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.2,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.2,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.2,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.2,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.2,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
0.3,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.3,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.3,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.3,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.3,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.3,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.3,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.3,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.3,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.3,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.3,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.3,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.3,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.3,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.3,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.3,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.3,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.3,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.3,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.3,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.3,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.3,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.3,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.3,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.3,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.3,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.3,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.3,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.3,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
0.4,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.4,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.4,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.4,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.4,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.4,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.4,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.4,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.4,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.4,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.4,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.4,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.4,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.4,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.4,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.4,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.4,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.4,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.4,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.4,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.4,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.4,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.4,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.4,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.4,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.4,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.4,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.4,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.4,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
0.5,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.5,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.5,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.5,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.5,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.5,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.5,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.5,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.5,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.5,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.5,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.5,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.5,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.5,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.5,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.5,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.5,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.5,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.5,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.5,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.5,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.5,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.5,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.5,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.5,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.5,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.5,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.5,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.5,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
0.6,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.6,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.6,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.6,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.6,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.6,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.6,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.6,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.6,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.6,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.6,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.6,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.6,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.6,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.6,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.6,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.6,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.6,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.6,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.6,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.6,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.6,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.6,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.6,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.6,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.6,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.6,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.6,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.6,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
0.7,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.7,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.7,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.7,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.7,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.7,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.7,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.7,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.7,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.7,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.7,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.7,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.7,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.7,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.7,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.7,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.7,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.7,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.7,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.7,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.7,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.7,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.7,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.7,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.7,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.7,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.7,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.7,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.7,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
0.8,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
0.8,3,62,0,0.0,0.13260000000002037,0.002138709677419683
0.8,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
0.8,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
0.8,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
0.8,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
0.8,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
0.8,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
0.8,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
0.8,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
0.8,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
0.8,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
0.8,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
0.8,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
0.8,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
0.8,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
0.8,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
0.8,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
0.8,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
0.8,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
0.8,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
0.8,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
0.8,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
0.8,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
0.8,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
0.8,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
0.8,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
0.8,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
0.8,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
1.0,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
1.0,3,62,0,0.0,0.13260000000002037,0.002138709677419683
1.0,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
1.0,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
1.0,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
1.0,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
1.0,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
1.0,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
1.0,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
1.0,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
1.0,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
1.0,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
1.0,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
1.0,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
1.0,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
1.0,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
1.0,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
1.0,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
1.0,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
1.0,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
1.0,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
1.0,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
1.0,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
1.0,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
1.0,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
1.0,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
1.0,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
1.0,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
1.0,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
1.5,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
1.5,3,62,0,0.0,0.13260000000002037,0.002138709677419683
1.5,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
1.5,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
1.5,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
1.5,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
1.5,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
1.5,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
1.5,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
1.5,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
1.5,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
1.5,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
1.5,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
1.5,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
1.5,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
1.5,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
1.5,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
1.5,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
1.5,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
1.5,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
1.5,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
1.5,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
1.5,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
1.5,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
1.5,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
1.5,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
1.5,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
1.5,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
1.5,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
2.0,2,62,0,0.0,0.0972999999999865,0.0015693548387094595
2.0,3,62,0,0.0,0.13260000000002037,0.002138709677419683
2.0,4,62,0,0.0,-0.17474999999998553,-0.0028185483870965407
2.0,5,62,0,0.0,-0.28504999999997394,-0.00459758064516087
2.0,6,62,0,0.0,-0.16999999999997267,-0.002741935483870527
2.0,7,62,0,0.0,-0.3001999999999863,-0.004841935483870747
2.0,8,62,0,0.0,-0.3157500000000254,-0.005092741935484281
2.0,9,62,0,0.0,-0.4013999999999762,-0.006474193548386713
2.0,10,62,0,0.0,-0.5089999999999962,-0.008209677419354779
2.0,11,62,0,0.0,-0.8398499999999968,-0.013545967741935432
2.0,12,62,0,0.0,-0.6020999999999822,-0.009711290322580357
2.0,13,62,0,0.0,-0.6723499999999785,-0.01084435483870933
2.0,14,62,0,0.0,-0.49390000000001233,-0.007966129032258263
2.0,15,62,0,0.0,-0.6269499999999517,-0.01011209677419277
2.0,16,62,0,0.0,-0.7462499999999546,-0.012036290322579912
2.0,17,62,0,0.0,-0.7046000000000183,-0.011364516129032554
2.0,18,62,0,0.0,-0.5365999999999804,-0.008654838709677103
2.0,19,62,0,0.0,-0.5448999999999431,-0.008788709677418438
2.0,20,62,0,0.0,-0.6685499999999956,-0.010783064516128963
2.0,21,62,0,0.0,-0.6850999999999476,-0.011049999999999156
2.0,22,62,0,0.0,-1.0584999999999765,-0.01707258064516091
2.0,23,62,0,0.0,-1.318699999999963,-0.02126935483870908
2.0,24,62,0,0.0,-1.555549999999985,-0.025089516129032013
2.0,25,62,0,0.0,-1.853049999999976,-0.029887903225806065
2.0,26,62,0,0.0,-2.1302500000000144,-0.03435887096774217
2.0,27,62,0,0.0,-2.0824999999999454,-0.03358870967741848
2.0,28,62,0,0.0,-2.0557499999999704,-0.03315725806451565
2.0,29,62,0,0.0,-2.2498499999999426,-0.03628790322580552
2.0,30,62,0,0.0,-2.1673999999999713,-0.03495806451612857
